,Manufacturer,Model,Trans,Eng Size,Cyl,MPG Comb,MPG City,MPG Hwy,Annual Fuel Cost,GHG Rating,Notes,Year
15,FERRARI,F8 Spider,AM-7,3.9L,8cyl,16,15,18,"$3,800",2,"['PR', 'T', 'Tax', 'SS']",2021
16,FERRARI,F8 Tributo,AM-7,3.9L,8cyl,16,15,19,"$3,800",2,"['PR', 'T', 'Tax', 'SS']",2021
17,FORD,GT,AM-7,3.5L,6cyl,14,12,18,"$4,350",1,"['PR', 'T', 'Tax']",2021
18,JAGUAR,F-Type Convertible,A-S8,2.0L,4cyl,26,23,30,"$2,350",5,"['P', 'T', 'SS']",2021
19,JAGUAR,F-Type Coupe,A-S8,2.0L,4cyl,26,23,30,"$2,350",5,"['P', 'T', 'SS']",2021
20,JAGUAR,F-Type R AWD Convertible,A-S8,5.0L,8cyl,18,16,24,"$3,400",3,"['P', 'S', 'SS']",2021
21,JAGUAR,F-Type R AWD Coupe,A-S8,5.0L,8cyl,18,16,24,"$3,400",3,"['P', 'S', 'SS']",2021
22,JAGUAR,F-Type S AWD Convertible,A-S8,3.0L,6cyl,21,18,26,"$2,900",4,"['P', 'S', 'SS']",2021
23,JAGUAR,F-Type S AWD Coupe,A-S8,3.0L,6cyl,21,18,26,"$2,900",4,"['P', 'S', 'SS']",2021
24,JAGUAR,F-Type S Convertible,A-S8,3.0L,6cyl,22,19,27,"$2,800",4,"['P', 'S', 'SS']",2021
25,JAGUAR,F-Type S Coupe,A-S8,3.0L,6cyl,22,19,27,"$2,800",4,"['P', 'S', 'SS']",2021
26,LAMBORGHINI,Aventador Coupe,AM-S7,6.5L,12cyl,10,8,15,"$6,100",1,"['PR', 'Tax', 'C.', 'D.', 'SS']",2021
27,LAMBORGHINI,Aventador Roadster,AM-S7,6.5L,12cyl,10,9,15,"$6,100",1,"['PR', 'Tax', 'C.', 'D.', 'SS']",2021
28,LAMBORGHINI,Aventador Sian Coupe,AM-S7,6.5L,12cyl,10,8,14,"$6,100",1,"['PR', 'Tax', 'C.', 'D.', 'SS']",2021
29,LAMBORGHINI,Aventador Sian Roadster,AM-S7,6.5L,12cyl,10,8,14,"$6,100",1,"['PR', 'Tax', 'C.', 'D.', 'SS']",2021
30,LAMBORGHINI,Huracan,AM-S7,5.2L,10cyl,15,13,18,"$4,100",2,"['PR', 'Tax', 'C.', 'D.']",2021
31,LAMBORGHINI,Huracan 2WD,AM-S7,5.2L,10cyl,15,13,18,"$4,100",2,"['PR', 'Tax', 'C.', 'D.']",2021
32,LAMBORGHINI,Huracan Spyder,AM-S7,5.2L,10cyl,15,13,18,"$4,100",2,"['PR', 'Tax', 'C.', 'D.']",2021
33,LAMBORGHINI,Huracan Spyder 2WD,AM-S7,5.2L,10cyl,15,13,18,"$4,100",2,"['PR', 'Tax', 'C.', 'D.']",2021
34,MAZDA,MX-5,A-S6,2.0L,4cyl,30,26,35,"$2,050",6,['P'],2021
35,MAZDA,MX-5,M-6,2.0L,4cyl,29,26,34,"$2,100",6,['P'],2021
36,MCLAREN AUTOMOTIVE,720S Coupe,AM-S7,4.0L,8cyl,18,15,22,"$3,400",3,"['P', 'T']",2021
37,MCLAREN AUTOMOTIVE,720S Coupe LM,AM-S7,4.0L,8cyl,18,15,22,"$3,400",3,"['P', 'T']",2021
38,MCLAREN AUTOMOTIVE,720S Spider,AM-S7,4.0L,8cyl,18,15,22,"$3,400",3,"['P', 'T']",2021
39,MCLAREN AUTOMOTIVE,765LT Coupe,AM-S7,4.0L,8cyl,16,14,18,"$3,800",2,"['P', 'T', 'Tax']",2021
40,MCLAREN AUTOMOTIVE,Elva,AM-S7,4.0L,8cyl,18,15,21,"$3,400",3,"['P', 'T']",2021
41,MCLAREN AUTOMOTIVE,GT,AM-S7,4.0L,8cyl,18,15,22,"$3,400",3,"['P', 'T']",2021
42,MERCEDES-BENZ,AMG GT Black Series,AM-7,4.0L,8cyl,17,15,20,"$3,600",3,"['PR', 'T', 'Tax', 'SS']",2021
43,MERCEDES-BENZ,AMG GT C Coupe,AM-7,4.0L,8cyl,17,15,19,"$3,600",3,"['PR', 'T', 'Tax', 'SS']",2021
44,MERCEDES-BENZ,AMG GT C Roadster,AM-7,4.0L,8cyl,17,15,20,"$3,600",3,"['PR', 'T', 'Tax', 'SS']",2021
45,MERCEDES-BENZ,AMG GT Coupe,AM-7,4.0L,8cyl,17,15,20,"$3,600",3,"['PR', 'T', 'Tax', 'SS']",2021
46,MERCEDES-BENZ,AMG GT R Coupe,AM-7,4.0L,8cyl,16,14,20,"$3,800",2,"['PR', 'T', 'Tax', 'SS']",2021
47,MERCEDES-BENZ,AMG GT Roadster,AM-7,4.0L,8cyl,17,15,20,"$3,600",3,"['PR', 'T', 'Tax', 'SS']",2021
48,NISSAN,370Z,M-6,3.7L,6cyl,20,17,26,"$3,050",4,['PR'],2021
49,PORSCHE,718 Boxster,AM-S7,2.0L,4cyl,24,21,27,"$2,550",5,"['PR', 'T', 'SS']",2021
50,PORSCHE,718 Boxster,M-6,2.0L,4cyl,22,20,26,"$2,800",4,"['PR', 'T', 'SS']",2021
51,PORSCHE,718 Boxster GTS,AM-S7,4.0L,6cyl,21,19,24,"$2,900",4,['P'],2021
52,PORSCHE,718 Boxster GTS,M-6,4.0L,6cyl,19,17,24,"$3,200",3,['P'],2021
53,PORSCHE,718 Boxster S,AM-S7,2.5L,4cyl,22,19,25,"$2,800",4,"['PR', 'T', 'SS']",2021
54,PORSCHE,718 Boxster S,M-6,2.5L,4cyl,21,19,24,"$2,900",4,"['PR', 'T', 'SS']",2021
55,PORSCHE,718 Boxster T,AM-S7,2.0L,4cyl,23,21,27,"$2,650",5,"['PR', 'T', 'SS']",2021
56,PORSCHE,718 Boxster T,M-6,2.0L,4cyl,22,20,26,"$2,800",4,"['PR', 'T', 'SS']",2021
57,PORSCHE,718 Cayman,AM-S7,2.0L,4cyl,24,21,27,"$2,550",5,"['PR', 'T', 'SS']",2021
58,PORSCHE,718 Cayman,M-6,2.0L,4cyl,22,20,26,"$2,800",4,"['PR', 'T', 'SS']",2021
59,PORSCHE,718 Cayman GT4,AM-S7,4.0L,6cyl,20,18,24,"$3,050",4,['P'],2021
60,PORSCHE,718 Cayman GT4,M-6,4.0L,6cyl,19,17,23,"$3,200",3,['P'],2021
61,PORSCHE,718 Cayman GTS,AM-S7,4.0L,6cyl,21,19,24,"$2,900",4,['P'],2021
62,PORSCHE,718 Cayman GTS,M-6,4.0L,6cyl,19,17,24,"$3,200",3,['P'],2021
63,PORSCHE,718 Cayman S,AM-S7,2.5L,4cyl,22,19,25,"$2,800",4,"['PR', 'T', 'SS']",2021
64,PORSCHE,718 Cayman S,M-6,2.5L,4cyl,21,19,24,"$2,900",4,"['PR', 'T', 'SS']",2021
65,PORSCHE,718 Cayman T,AM-S7,2.0L,4cyl,23,21,27,"$2,650",5,"['PR', 'T', 'SS']",2021
66,PORSCHE,718 Cayman T,M-6,2.0L,4cyl,22,20,26,"$2,800",4,"['PR', 'T', 'SS']",2021
67,PORSCHE,718 Spyder,AM-S7,4.0L,6cyl,20,18,24,"$3,050",4,['P'],2021
68,PORSCHE,718 Spyder,M-6,4.0L,6cyl,19,17,23,"$3,200",3,['P'],2021
69,TOYOTA,GR Supra,A-S8,2.0L,4cyl,28,25,32,"$2,200",6,"['P', 'T', 'SS']",2021
70,TOYOTA,GR Supra,A-S8,3.0L,6cyl,25,22,30,"$2,450",5,"['P', 'T', 'SS']",2021
71,ASTON MARTIN,DB11 V12,A-S8,5.2L,12cyl,18,15,22,"$3,400",3,"['P', 'T', 'C.', 'D.']",2021
72,ASTON MARTIN,DB11 V8,A-S8,4.0L,8cyl,20,18,24,"$3,050",4,"['P', 'T']",2021
73,ASTON MARTIN,DBS,A-S8,5.2L,12cyl,17,14,22,"$3,600",3,"['P', 'T', 'Tax', 'C.', 'D.']",2021
74,BENTLEY,Continental GT Convertible,AM-S8,4.0L,8cyl,19,16,26,"$3,200",3,"['P', 'T', 'C.', 'D.', 'SS']",2021
75,BENTLEY,Continental GT Convertible,AM-S8,6.0L,12cyl,15,12,19,"$4,100",2,"['P', 'T', 'Tax', 'C.', 'D.', 'SS']",2021
76,FERRARI,Portono,AM-7,3.9L,8cyl,18,16,22,"$3,400",3,"['PR', 'T', 'SS']",2021
77,FERRARI,Portono M,AM-8,3.9L,8cyl,19,16,23,"$3,200",3,"['PR', 'T', 'SS']",2021
78,LEXUS,LC 500 Convertible,A-S10,5.0L,8cyl,18,15,25,"$3,400",3,['PR'],2021
79,LOTUS,Evora GT,A-S6,3.5L,6cyl,20,17,24,"$3,050",4,"['P', 'S']",2021
80,LOTUS,Evora GT,M-6,3.5L,6cyl,20,17,26,"$3,050",4,"['P', 'S']",2021
81,MINI,Cooper Convertible,AM-S7,1.5L,3cyl,31,28,37,"$1,950",7,"['P', 'T', 'SS']",2021
82,MINI,Cooper Convertible,M-6,1.5L,3cyl,30,26,37,"$2,050",6,"['P', 'T']",2021
83,MINI,Cooper S Convertible,AM-S7,2.0L,4cyl,29,26,34,"$2,100",6,"['P', 'T']",2021
84,MINI,Cooper S Convertible,M-6,2.0L,4cyl,26,23,32,"$2,350",5,"['P', 'T']",2021
85,MINI,John Cooper Works Convertible,A-S8,2.0L,4cyl,28,25,33,"$2,200",6,"['P', 'T', 'SS']",2021
86,PORSCHE,911 Carrera,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']",2021
87,PORSCHE,911 Carrera 4,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']",2021
88,PORSCHE,911 Carrera 4 Cabriolet,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']",2021
89,PORSCHE,911 Carrera 4S,AM-S8,3.0L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']",2021
90,PORSCHE,911 Carrera 4S,M-7,3.0L,6cyl,20,17,25,"$3,050",4,"['PR', 'T', 'SS']",2021
91,PORSCHE,911 Carrera 4S Cabriolet,AM-S8,3.0L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']",2021
92,PORSCHE,911 Carrera 4S Cabriolet,M-7,3.0L,6cyl,20,17,24,"$3,050",4,"['PR', 'T', 'SS']",2021
93,PORSCHE,911 Carrera Cabriolet,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']",2021
94,PORSCHE,911 Carrera S,AM-S8,3.0L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']",2021
95,PORSCHE,911 Carrera S,M-7,3.0L,6cyl,21,18,25,"$2,900",4,"['PR', 'T', 'SS']",2021
96,PORSCHE,911 Carrera S Cabriolet,AM-S8,3.0L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']",2021
97,PORSCHE,911 Carrera S Cabriolet,M-7,3.0L,6cyl,20,17,25,"$3,050",4,"['PR', 'T', 'SS']",2021
98,PORSCHE,911 Targa 4,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']",2021
99,PORSCHE,911 Targa 4S,AM-S8,3.0L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']",2021
100,PORSCHE,911 Targa 4S,M-7,3.0L,6cyl,20,17,24,"$3,050",4,"['PR', 'T', 'SS']",2021
101,PORSCHE,911 Turbo,AM-S8,3.7L,6cyl,17,15,20,"$3,600",3,"['PR', 'T', 'Tax', 'SS']",2021
102,PORSCHE,911 Turbo Cabriolet,AM-S8,3.7L,6cyl,17,15,20,"$3,600",3,"['PR', 'T', 'Tax', 'SS']",2021
103,PORSCHE,911 Turbo S,AM-S8,3.7L,6cyl,17,15,20,"$3,600",3,"['PR', 'T', 'SS']",2021
104,PORSCHE,911 Turbo S Cabriolet,AM-S8,3.7L,6cyl,17,15,20,"$3,600",3,"['PR', 'T', 'Tax', 'SS']",2021
105,AUDI,A5 Cabriolet quattro,AM-S7,2.0L,4cyl,26,23,31,"$2,350",5,"['P', 'T', 'MHEV', 'SS']",2021
106,AUDI,A5 quattro,AM-S7,2.0L,4cyl,27,24,31,"$2,250",6,"['P', 'T', 'MHEV', 'SS']",2021
107,AUDI,RS 5,A-S8,2.9L,6cyl,20,18,25,"$3,050",4,"['P', 'T']",2021
108,AUDI,S5,A-S8,3.0L,6cyl,23,20,28,"$2,650",5,"['P', 'T', 'SS']",2021
109,AUDI,S5 Cabriolet,A-S8,3.0L,6cyl,22,20,26,"$2,800",4,"['P', 'T', 'SS']",2021
110,AUDI,TT Coupe quattro,AM-S7,2.0L,4cyl,26,23,31,"$1,850",5,"['T', 'SS']",2021
111,AUDI,TT RS,AM-S7,2.5L,5cyl,24,20,30,"$2,550",5,"['P', 'T']",2021
112,AUDI,TTS Coupe,AM-S7,2.0L,4cyl,25,23,29,"$2,450",5,"['P', 'T', 'SS']",2021
113,BENTLEY,Continental GT,AM-S8,4.0L,8cyl,19,16,26,"$3,200",3,"['P', 'T', 'C.', 'D.', 'SS']",2021
114,BENTLEY,Continental GT,AM-S8,6.0L,12cyl,15,12,20,"$4,100",2,"['P', 'T', 'Tax', 'C.', 'D.', 'SS']",2021
115,BMW,230i Convertible,A-S8,2.0L,4cyl,27,23,33,"$2,250",6,"['P', 'T', 'SS']",2021
116,BMW,230i Coupe,A-S8,2.0L,4cyl,28,25,32,"$2,200",6,"['P', 'T', 'SS']",2021
117,BMW,230i Coupe,M-6,2.0L,4cyl,25,21,32,"$2,450",5,"['P', 'T', 'SS']",2021
118,BMW,230i xDrive Convertible,A-S8,2.0L,4cyl,24,21,30,"$2,550",5,"['P', 'T', 'SS']",2021
119,BMW,230i xDrive Coupe,A-S8,2.0L,4cyl,24,21,30,"$2,550",5,"['P', 'T', 'SS']",2021
120,BMW,430i Convertible,A-S8,2.0L,4cyl,27,24,33,"$2,250",6,"['P', 'T', 'SS']",2021
121,BMW,430i Coupe,A-S8,2.0L,4cyl,29,26,34,"$2,100",6,"['P', 'T', 'SS']",2021
122,BMW,430i xDrive Coupe,A-S8,2.0L,4cyl,27,24,33,"$2,250",6,"['P', 'T', 'SS']",2021
123,BMW,840i Convertible,A-S8,3.0L,6cyl,25,22,29,"$2,450",5,"['P', 'T', 'SS']",2021
124,BMW,840i Coupe,A-S8,3.0L,6cyl,25,23,30,"$2,450",5,"['P', 'T', 'SS']",2021
125,BMW,840i xDrive Convertible,A-S8,3.0L,6cyl,23,20,27,"$2,650",5,"['P', 'T', 'SS']",2021
126,BMW,840i xDrive Coupe,A-S8,3.0L,6cyl,23,20,27,"$2,650",5,"['P', 'T', 'SS']",2021
127,BMW,M2 Competition Coupe,AM-S7,3.0L,6cyl,19,16,23,"$3,200",3,"['P', 'T', 'SS']",2021
128,BMW,M2 Competition Coupe,M-6,3.0L,6cyl,20,18,24,"$3,050",4,"['P', 'T', 'SS']",2021
129,BMW,M240i Convertible,A-S8,3.0L,6cyl,24,21,30,"$2,550",5,"['P', 'T', 'SS']",2021
130,BMW,M240i Convertible,M-6,3.0L,6cyl,21,19,27,"$2,900",4,"['P', 'T', 'SS']",2021
131,BMW,M240i Coupe,A-S8,3.0L,6cyl,24,21,30,"$2,550",5,"['P', 'T', 'SS']",2021
132,BMW,M240i Coupe,M-6,3.0L,6cyl,21,19,27,"$2,900",4,"['P', 'T', 'SS']",2021
133,BMW,M240i xDrive Convertible,A-S8,3.0L,6cyl,24,21,30,"$2,550",5,"['P', 'T', 'SS']",2021
134,BMW,M240i xDrive Coupe,A-S8,3.0L,6cyl,24,21,30,"$2,550",5,"['P', 'T', 'SS']",2021
135,BMW,M4 Competition Coupe,A-S8,3.0L,6cyl,19,16,23,"$3,200",3,"['P', 'T', 'SS']",2021
136,BMW,M4 Coupe,M-6,3.0L,6cyl,19,16,23,"$3,200",3,"['P', 'T', 'SS']",2021
137,BMW,M440i Convertible,A-S8,3.0L,6cyl,26,23,31,"$2,350",5,"['P', 'T', 'MHEV', 'SS']",2021
138,BMW,M440i xDrive Coupe,A-S8,3.0L,6cyl,25,22,31,"$2,450",5,"['P', 'T', 'MHEV', 'SS']",2021
139,BMW,M8 Competition Convertible,A-S8,4.4L,8cyl,17,15,21,"$3,600",3,"['P', 'T', 'Tax', 'SS']",2021
140,BMW,M8 Convertible,A-S8,4.4L,8cyl,17,15,21,"$3,600",3,"['P', 'T', 'Tax', 'SS']",2021
141,BMW,M850i xDrive Convertible,A-S8,4.4L,8cyl,19,17,24,"$3,200",3,"['P', 'T', 'SS']",2021
142,BMW,M850i xDrive Coupe,A-S8,4.4L,8cyl,20,17,25,"$3,050",4,"['P', 'T', 'SS']",2021
143,CHEVROLET,Camaro,A-S8,2.0L,4cyl,25,22,30,"$2,450",5,"['PR', 'T']",2021
144,CHEVROLET,Camaro,M-6,2.0L,4cyl,22,19,29,"$2,800",4,"['PR', 'T']",2021
145,CHEVROLET,Camaro,A-S10,3.6L,6cyl,22,18,29,"$2,150",4,"['C.', 'D.']",2021
146,CHEVROLET,Camaro,M-6,3.6L,6cyl,20,16,26,"$2,400",4,[],2021
147,CHEVROLET,Camaro,A-S10,6.2L,8cyl,20,16,26,"$3,050",4,"['PR', 'C.', 'D.']",2021
148,CHEVROLET,Camaro,A-S10,6.2L,8cyl,16,13,21,"$3,800",2,"['PR', 'S', 'Tax']",2021
149,CHEVROLET,Camaro,M-6,6.2L,8cyl,19,16,24,"$3,200",3,['PR'],2021
150,CHEVROLET,Camaro,M-6,6.2L,8cyl,16,14,20,"$3,800",2,"['PR', 'S', 'Tax']",2021
151,CHEVROLET,Spark,AV,1.4L,4cyl,33,30,38,"$1,450",7,[],2021
152,CHEVROLET,Spark,M-5,1.4L,4cyl,33,29,38,"$1,450",7,[],2021
153,CHEVROLET,Spark ACTIV,AV,1.4L,4cyl,33,30,37,"$1,450",7,[],2021
154,CHEVROLET,Spark ACTIV,M-5,1.4L,4cyl,32,29,37,"$1,500",7,[],2021
155,FERRARI,Roma,AM-8,3.9L,8cyl,19,17,22,"$3,200",3,"['PR', 'T', 'SS']",2021
156,FORD,Mustang,A-10,2.3L,4cyl,25,21,32,"$1,900",5,['T'],2021
157,FORD,Mustang,A-S10,2.3L,4cyl,25,21,32,"$1,900",5,['T'],2021
158,FORD,Mustang,M-6,2.3L,4cyl,24,21,29,"$2,000",5,['T'],2021
159,FORD,Mustang,A-S10,5.0L,8cyl,19,15,24,"$2,500",3,[],2021
160,FORD,Mustang,M-6,5.0L,8cyl,18,15,24,"$2,650",3,[],2021
161,FORD,Mustang Convertible,A-10,2.3L,4cyl,23,20,28,"$2,050",5,['T'],2021
162,FORD,Mustang Convertible,A-S10,2.3L,4cyl,23,20,28,"$2,050",5,['T'],2021
163,FORD,Mustang Convertible,M-6,2.3L,4cyl,23,20,27,"$2,050",5,['T'],2021
164,FORD,Mustang Convertible,A-S10,5.0L,8cyl,18,15,23,"$2,650",3,[],2021
165,FORD,Mustang HO Convertible,A-S10,2.3L,4cyl,22,19,26,"$2,150",4,['T'],2021
166,FORD,Mustang HO Convertible,M-6,2.3L,4cyl,21,19,25,"$2,250",4,['T'],2021
167,FORD,Mustang HO Coupe,A-S10,2.3L,4cyl,23,20,27,"$2,050",5,['T'],2021
168,FORD,Mustang HO Coupe,M-6,2.3L,4cyl,22,20,27,"$2,150",4,['T'],2021
169,FORD,Mustang Mach 1,A-S10,5.0L,8cyl,18,15,23,"$2,650",3,[],2021
170,FORD,Mustang Mach 1,M-6,5.0L,8cyl,17,14,22,"$2,800",3,['Tax'],2021
171,FORD,Shelby GT500 Mustang,AM-7,5.2L,8cyl,14,12,18,"$4,350",1,"['PR', 'S', 'Tax']",2021
172,INFINITI,Q60,A-S7,3.0L,6cyl,22,19,28,"$2,800",4,"['PR', 'T']",2021
173,INFINITI,Q60 AWD,A-S7,3.0L,6cyl,22,19,27,"$2,800",4,"['PR', 'T']",2021
174,INFINITI,Q60 Red Sport,A-S7,3.0L,6cyl,22,20,27,"$2,800",4,"['PR', 'T']",2021
175,INFINITI,Q60 Red Sport AWD,A-S7,3.0L,6cyl,21,19,26,"$2,900",4,"['PR', 'T']",2021
176,LEXUS,LC 500,A-S10,5.0L,8cyl,19,16,25,"$3,200",3,['PR'],2021
177,LEXUS,LC 500h,AV-S10,3.5L,6cyl,29,26,34,"$2,100",6,"['PR', 'HEV', 'SS']",2021
178,LEXUS,RC 300,A-S8,2.0L,4cyl,25,21,31,"$2,450",5,"['PR', 'T']",2021
179,LEXUS,RC 300 AWD,A-S6,3.5L,6cyl,22,19,26,"$2,800",4,['PR'],2021
180,LEXUS,RC 350,A-S8,3.5L,6cyl,23,20,28,"$2,650",5,['PR'],2021
181,LEXUS,RC 350 AWD,A-S6,3.5L,6cyl,22,19,26,"$2,800",4,['PR'],2021
182,LEXUS,RC F,A-S8,5.0L,8cyl,19,16,24,"$3,200",3,['PR'],2021
183,MERCEDES-BENZ,A220,AM-7,2.0L,4cyl,29,25,36,"$2,100",6,"['PR', 'T', 'SS']",2021
184,MERCEDES-BENZ,A220 4matic,AM-7,2.0L,4cyl,28,25,34,"$2,200",6,"['PR', 'T', 'SS']",2021
185,MERCEDES-BENZ,AMG A35 4matic,AM-7,2.0L,4cyl,25,22,29,"$2,450",5,"['PR', 'T', 'SS']",2021
186,MERCEDES-BENZ,AMG C43 4matic Convertible,A-9,3.0L,6cyl,22,19,27,"$2,800",4,"['PR', 'T', 'SS']",2021
187,MERCEDES-BENZ,AMG C43 4matic Coupe,A-9,3.0L,6cyl,22,19,27,"$2,800",4,"['PR', 'T', 'SS']",2021
188,MERCEDES-BENZ,AMG C63 Convertible,A-9,4.0L,8cyl,20,17,25,"$3,050",4,"['PR', 'T', 'SS']",2021
189,MERCEDES-BENZ,AMG C63 Coupe,A-9,4.0L,8cyl,20,17,26,"$3,050",4,"['PR', 'T', 'SS']",2021
190,MERCEDES-BENZ,AMG C63 S Convertible,A-9,4.0L,8cyl,20,17,25,"$3,050",4,"['PR', 'T', 'SS']",2021
191,MERCEDES-BENZ,AMG C63 S Coupe,A-9,4.0L,8cyl,20,17,26,"$3,050",4,"['PR', 'T', 'SS']",2021
192,MERCEDES-BENZ,AMG E53 4matic Plus Convertible,A-9,3.0L,6cyl,23,21,27,"$2,650",5,"['PR', 'MHEV', 'SS']",2021
193,MERCEDES-BENZ,AMG E53 4matic Plus Coupe,A-9,3.0L,6cyl,24,21,28,"$2,550",5,"['PR', 'MHEV', 'SS']",2021
194,MERCEDES-BENZ,AMG S63 4matic Plus Convertible,A-9,4.0L,8cyl,17,14,24,"$3,600",3,"['PR', 'T', 'C.', 'D.', 'SS']",2021
195,MERCEDES-BENZ,C300 4matic Convertible,A-9,2.0L,4cyl,25,22,30,"$2,450",5,"['PR', 'T', 'SS']",2021
196,MERCEDES-BENZ,C300 4matic Coupe,A-9,2.0L,4cyl,26,23,32,"$2,350",5,"['PR', 'T', 'SS']",2021
197,MERCEDES-BENZ,C300 Convertible,A-9,2.0L,4cyl,26,23,31,"$2,350",5,"['PR', 'T', 'SS']",2021
198,MERCEDES-BENZ,C300 Coupe,A-9,2.0L,4cyl,27,24,33,"$2,250",6,"['PR', 'T', 'SS']",2021
199,MERCEDES-BENZ,E450 4matic Convertible,A-9,3.0L,6cyl,25,23,29,"$2,450",5,"['PR', 'T', 'MHEV', 'SS']",2021
200,MERCEDES-BENZ,E450 4matic Coupe,A-9,3.0L,6cyl,25,23,30,"$2,450",5,"['PR', 'T', 'MHEV', 'SS']",2021
201,MERCEDES-BENZ,E450 Convertible,A-9,3.0L,6cyl,25,23,30,"$2,450",5,"['PR', 'T', 'MHEV', 'SS']",2021
202,MERCEDES-BENZ,E450 Coupe,A-9,3.0L,6cyl,26,23,31,"$2,350",5,"['PR', 'T', 'MHEV', 'SS']",2021
203,MERCEDES-BENZ,S560 Convertible,A-9,4.0L,8cyl,20,16,26,"$3,050",4,"['PR', 'T', 'SS']",2021
204,MINI,Cooper Hardtop 2 door,AM-S7,1.5L,3cyl,31,28,37,"$1,950",7,"['P', 'T', 'SS']",2021
205,MINI,Cooper Hardtop 2 door,M-6,1.5L,3cyl,30,26,37,"$2,050",6,"['P', 'T']",2021
206,MINI,Cooper Hardtop 4 door,AM-S7,1.5L,3cyl,31,28,37,"$1,950",7,"['P', 'T', 'SS']",2021
207,MINI,Cooper Hardtop 4 door,M-6,1.5L,3cyl,30,26,37,"$2,050",6,"['P', 'T']",2021
208,MINI,Cooper S Hardtop 2 door,AM-S7,2.0L,4cyl,30,26,35,"$2,050",6,"['P', 'T']",2021
209,MINI,Cooper S Hardtop 2 door,M-6,2.0L,4cyl,27,23,33,"$2,250",6,"['P', 'T']",2021
210,MINI,Cooper S Hardtop 4 door,AM-S7,2.0L,4cyl,30,26,35,"$2,050",6,"['P', 'T']",2021
211,MINI,Cooper S Hardtop 4 door,M-6,2.0L,4cyl,27,23,33,"$2,250",6,"['P', 'T']",2021
212,MINI,John Cooper Works GP,A-S8,2.0L,4cyl,26,24,30,"$2,350",5,"['P', 'T']",2021
213,MINI,John Cooper Works Hardtop,A-S8,2.0L,4cyl,29,26,34,"$2,100",6,"['P', 'T']",2021
214,MINI,John Cooper Works Hardtop,M-6,2.0L,4cyl,27,23,33,"$2,250",6,"['P', 'T']",2021
215,NISSAN,GT-R,AM-S6,3.8L,6cyl,18,16,22,"$3,400",3,"['PR', 'T']",2021
216,ROUSH PERFORMANCE,Mustang,A-S10,5.0L,8cyl,15,12,19,"$4,100",2,"['PR', 'S', 'Tax']",2021
217,ROUSH PERFORMANCE,Mustang,M-6,5.0L,8cyl,14,12,19,"$4,350",1,"['PR', 'S', 'Tax']",2021
