,,,,,,,,,,,,,
Model,"Annual
MPG",,,,,,Model,M,PG,Annual,,,
TT Roadster quattr,o,,,,,,,,,,,,
"AM-S7, 2.0L, 4cyl","26 23/30 $1,850",5,T S,S,,,LAMBORGHINI,,,,,,
,,,,,,,,,,,,,
BMW,,,,,,,Aventador Counta,ch,,,,,
,,,,,,,"AM-S7, 6.5L, 12cyl",11,9/16,"$5,550",1,PR Tax CD,SS
Z4 M40i,,,,,,,,,,,,,
,,,,,,,,,,,,,
"A-S8, 3.0L, 6cyl","25 22/29 $2,450",5,P T,SS,,,Aventador Coupe,,,,,,
,,,,,,,"AM-S7, 6.5L, 12cyl",11,9/16,"$5,550",1,PR Tax CD,SS
Z4 sDrive30i,,,,,,,,,,,,,
,,,,,,,,,,,,,
"A-S8, 2.0L, 4cyl","28 25/32 $2,200",6,P T,SS,,,Aventador Roadst,er,,,,,
,,,,,,,"AM-S7, 6.5L, 12cyl",11,9/16,"$5,550",1,PR Tax CD,SS
BUGATTI,,,,,,,Huracan Coupe,,,,,,
,,,,,,,,,,,,,
,,,,,,,"AM-S7, 5.2L, 10cyl",15,13/18,"$4,100",2,PR Tax CD,
Chiron,,,,,,,,,,,,,
"AM-S7, 8.0L, 16cyl","11 9/14 $5,550",1,PR,T Ta,x,,Huracan Coupe R,WD,,,,,
,,,,,,,,,,,,,
,,,,,,,"AM-S7, 5.2L, 10cyl",15,13/18,"$4,100",2,PR Tax CD,
Chiron Pur Sport,,,,,,,,,,,,,
"AM-S7, 8.0L, 16cyl","9 8/11 $6,800",1,PR,T Ta,x,,Huracan Spyder,,,,,,
,,,,,,,,,,,,,
,,,,,,,"AM-S7, 5.2L, 10cyl",15,13/18,"$4,100",2,PR Tax CD,
Chiron Super Sport,,,,,,,,,,,,,
"AM-S7, 8.0L, 16cyl","9 8/11 $6,800",1,PR,T Ta,x,,Huracan Spyder R,WD,,,,,
,,,,,,,"AM-S7, 5.2L, 10cyl",15,13/18,"$4,100",2,PR Tax CD,
CHEVROLET,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,MASERATI,,,,,,
Corvette,,,,,,,,,,,,,
"A-S8, 6.2L, 8cyl","19 16/24 $3,200",4,PR,CD,,,MC20,,,,,,
,,,,,,,"A-S8, 3.0L, 6cyl",18,15/25,"$3,400",3,PR T,
FERRARI,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,MAZDA,,,,,,
296 GTB,,,,,,,,,,,,,
"AM-S8, 2.9L, 6cyl",See page 42.,,PR,T PH,E,V SS,MX-5,,,,,,
812 Competizione,,,,,,,"A-S6, 2.0L, 4cyl",30,26/35,"$2,050",6,P,
,,,,,,,"M-6, 2.0L, 4cyl",29,26/34,"$2,100",6,P,
"AM-7, 6.5L, 12cyl","14 12/16 $4,350",2,PR,Tax,S,S,,,,,,,
,,,,,,,,,,,,,
812 GTS,,,,,,,MCLAREN AUTO,MOT,IVE,,,,
"AM-7, 6.5L, 12cyl","13 12/15 $4,700",1,PR,Tax,S,S,,,,,,,
,,,,,,,,,,,,,
,,,,,,,720S Coupe,,,,,,
F8 Spider,,,,,,,"AM-S7, 4.0L, 8cyl",18,15/22,"$3,400",3,P T,
"AM-7, 3.9L, 8cyl","16 15/18 $3,800",3,PR,T Ta,x,SS,,,,,,,
,,,,,,,,,,,,,
,,,,,,,720S Spider,,,,,,
F8 Tributo,,,,,,,"AM-S7, 4.0L, 8cyl",18,15/22,"$3,400",3,P T,
"AM-7, 3.9L, 8cyl","16 15/19 $3,800",3,PR,T Ta,x,SS,,,,,,,
,,,,,,,,,,,,,
,,,,,,,765LT Spider,,,,,,
SF90 Spider,,,,,,,"AM-S7, 4.0L, 8cyl",16,14/18,"$3,800",3,P T Tax,
"AM-8, 3.9L, 8cyl",See page 42.,,PR,T Ta,x,PHEV SS,,,,,,,
,,,,,,,,,,,,,
,,,,,,,FU,EL E,CONO,MY G,UIDE,2022,
,Mo,del,,"Annual
MPG",,,,,,Model,,M,PG,Annual,,,,
Con,g,uratio,n,Fuel,GHG,,,,,Congurati,on,,,Fuel,GHG,,,
"(trans,",en,"g size,",cyl),Comb City/Hwy Cost,Rating,,,Notes,(tra,"ns, eng size",", cyl)",Comb,City/Hwy,Cost,Rating,,,N
,,,,,,,,,,,,,,,,,,
T,,,,,,,,,,,,,,,,,,
,,,,,,,,,BEN,TLEY,,,,,,,,
"AM-S7,",4.0,"L, 8cy",l,"18 15/22 $3,400",3,P T,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,Con,tinental,GT Sp,eed C,onvertib,le,,,,
ORS,CH,E,,,,,,,AM-,"S8, 6.0L, 12",cyl,14,12/18,"$4,350",2,P T,T,ax C
,,,,,,,,,,,,,,,,,,
18 Bo,xs,ter,,,,,,,Con,tinental,GT V8,Con,vertible,,,,,
"AM-S7,",2.0,"L, 4cy",l,"24 21/27 $2,550",5,PR,T SS,,AM-,"S8, 4.0L, 8c",yl,19,16/26,"$3,200",4,P T,C,D S
"M-6, 2.0","L, 4",cyl,,"22 20/26 $2,800",5,PR,T SS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
18 Bo,xs,ter,GTS,,,,,,FER,RARI,,,,,,,,
,,,,,,,,,,,,,,,,,,
"AM-S7,",4.0,"L, 6cy",l,"21 19/24 $2,900",4,P,,,Port,ono M,,,,,,,,
"M-6, 4.0","L, 6",cyl,,"19 17/24 $3,200",4,PR,,,AM-,"8, 3.9L, 8cy",l,19,16/23,"$3,200",4,PR,T,SS
18 Bo,xs,ter,S,,,,,,,,,,,,,,,
"AM-S7,",2.5,"L, 4cy",l,"22 19/25 $2,800",5,PR,T SS,,LEX,US,,,,,,,,
"M-6, 2.5","L, 4",cyl,,"21 19/24 $2,900",4,PR,T SS,,LC 5,00 Conv,ertibl,e,,,,,,
,,,,,,,,,,,,,,,,,,
18 Bo,xs,ter,T,,,,,,A-S1,"0, 5.0L, 8cy",l,18,15/25,"$3,400",3,PR,,
"AM-S7,",2.0,"L, 4cy",l,"23 21/27 $2,650",5,PR,T SS,,,,,,,,,,,
"M-6, 2.0","L, 4",cyl,,"22 20/26 $2,800",5,PR,T SS,,MER,CEDES,-BEN,Z,,,,,,
,,,,,,,,,,,,,,,,,,
18 Ca,ym,an,,,,,,,AMG,SL55 4,matic,Plus,,,,,,
"AM-S7,",2.0,"L, 4cy",l,"24 21/27 $2,550",5,PR,T SS,,"A-9,","4.0L, 8cyl",,16,14/21,"$3,800",3,PR,T,Tax
"M-6, 2.0","L, 4",cyl,,"22 20/26 $2,800",5,PR,T SS,,,,,,,,,,,
,,,,,,,,,AMG,SL63 4,matic,Plus,,,,,,
,,,,,,,,,,,,,,,,,,
18 Ca,ym,an,GT4,,,,,,"A-9,","4.0L, 8cyl",,16,14/21,"$3,800",3,PR,T,Tax
"AM-S7,",4.0,"L, 6cy",l,"20 18/24 $3,050",4,PR,,,,,,,,,,,,
"M-6, 4.0","L, 6",cyl,,"19 17/23 $3,200",4,PR,,,MIN,I,,,,,,,,
18 Ca,ym,an,GTS,,,,,,,,,,,,,,,
,,,,,,,,,Coo,per Con,vertib,le,,,,,,
"AM-S7,",4.0,"L, 6cy",l,"21 19/24 $2,900",4,P,,,,,,,,,,,,
"M-6, 4.0","L, 6",cyl,,"19 17/24 $3,200",4,PR,,,AM-,"S7, 1.5L, 3c",yl,32,29/38,"$1,900",7,P T,S,S
,,,,,,,,,"M-6,","1.5L, 3cyl",,31,27/37,"$1,950",7,P T,S,S
18 Ca,ym,an,S,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"AM-S7,",2.5,"L, 4cy",l,"22 19/25 $2,800",5,PR,T SS,,Coo,per S Co,nverti,ble,,,,,,
"M-6, 2.5","L, 4",cyl,,"21 19/24 $2,900",4,PR,T SS,,AM-,"S7, 2.0L, 4c",yl,30,27/36,"$2,050",6,P T,,
,,,,,,,,,"M-6,","2.0L, 4cyl",,26,23/33,"$2,350",5,P T,,
18 Ca,ym,an,T,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"AM-S7,",2.0,"L, 4cy",l,"23 21/27 $2,650",5,PR,T SS,,Joh,n Coope,r Work,s Co,nvertible,,,,,
"M-6, 2.0","L, 4",cyl,,"22 20/26 $2,800",5,PR,T SS,,A-S8,", 2.0L, 4cyl",,28,24/33,"$2,200",6,P T,S,S
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
18 Sp,yd,er,,,,,,,POR,SCHE,,,,,,,,
"AM-S7,",4.0,"L, 6cy",l,"20 18/24 $3,050",4,PR,,,,,,,,,,,,
"M-6, 4.0","L, 6",cyl,,"19 17/23 $3,200",4,PR,,,911,Carrera,,,,,,,,
11 GT,3,,,,,,,,AM-,"S8, 3.0L, 6c",yl,20,18/24,"$3,050",4,PR,T,SS
,,,,,,,,,,,,,,,,,,
"AM-S7,",4.0,"L, 6cy",l,"16 15/18 $3,800",3,PR,Tax,SS,911,Carrera,4,,,,,,,
"M-6, 4.0","L, 6",cyl,,"16 14/18 $3,800",3,PR,Tax,,AM-,"S8, 3.0L, 6c",yl,20,18/24,"$3,050",4,PR,T,SS
,,,,,,,,,,,,,,,,,,
11 GT,3,Tou,ring,,,,,,911,Carrera,4 Cab,riolet,,,,,,
"AM-S7,",4.0,"L, 6cy",l,"16 15/18 $3,800",3,PR,Tax,SS,AM-,"S8, 3.0L, 6c",yl,20,18/24,"$3,050",4,PR,T,SS
"M-6, 4.0","L, 6",cyl,,"16 14/18 $3,800",3,PR,Tax,,911,Carrera,4 GTS,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,AM-,"S8, 3.0L, 6c",yl,19,17/23,"$3,200",4,PR,T,SS
OYO,TA,,,,,,,,"M-7,","3.0L, 6cyl",,19,17/23,"$3,200",4,PR,T,SS
R Sup,ra,,,,,,,,911,Carrera,4 GTS,Cabr,iolet,,,,,
"A-S8, 2.","0L,",4cyl,,"28 25/32 $2,200",6,P T,SS,,AM-,"S8, 3.0L, 6c",yl,19,17/22,"$3,200",4,PR,T,SS
"A-S8, 3.","0L,",6cyl,,"25 22/30 $2,450",5,P T,SS,,"M-7,","3.0L, 6cyl",,19,16/23,"$3,200",4,PR,T,SS
,,,,,,,,,,,,,,,,,,
,,,,MINICOMPACT CA,RS,,,,911,Carrera,4S,,,,,,,
,,,,,,,,,AM-,"S8, 3.0L, 6c",yl,20,18/23,"$3,050",4,PR,T,SS
STO,N,MA,RTIN,,,,,,"M-7,","3.0L, 6cyl",,20,17/25,"$3,050",4,PR,T,SS
,,,,,,,,,,,,,,,,,,
,,,,,,,,,911,Carrera,4S Ca,briole,t,,,,,
,,,,,,,,,,,,,,,,,,
B11,V1,2,,,,,,,AM-,"S8, 3.0L, 6c",yl,20,18/23,"$3,050",4,PR,T,SS
"A-S8, 5.","2L,",12cy,l,"17 14/22 $3,600",3,P T,Tax,CD,"M-7,","3.0L, 6cyl",,20,17/24,"$3,050",4,PR,T,SS
B11,V8,,,,,,,,911,Carrera,Cabri,olet,,,,,,
"A-8, 4.0","L, 8",cyl,,"20 18/24 $3,050",4,P T,,,AM-,"S8, 3.0L, 6c",yl,20,18/24,"$3,050",4,PR,T,SS
BS,,,,,,,,,911,Carrera,GTS,,,,,,,
"A-S8, 5.","2L,",12cy,l,"17 14/22 $3,600",3,P T,Tax,CD,AM-,"S8, 3.0L, 6c",yl,19,17/23,"$3,200",4,PR,T,SS
,,,,,,,,,"M-7,","3.0L, 6cyl",,20,17/24,"$3,050",4,PR,T,SS
,,,,,,,,,,,,,,,
,Mode,l,"Annual
MPG",,,,,,,Model,MP,G,Annual,,
,Congur,ation,Fuel,GHG,,,,,,Conguration,,,Fuel,GHG,
(tr,"ans, eng s","ize, cyl)",Comb City/Hwy Cost,Rating,,,N,otes,(tr,"ans, eng size, cyl)",Comb C,ity/Hwy,Cost,Rating,N
,,,,,,,,,,,,,,,
11,Carrer,a GTS C,abriolet,,,,,,S5 C,oupe,,,,,
AM-,"S8, 3.0L,",6cyl,"19 17/23 $3,200",4,PR,T,SS,,A-S8,", 3.0L, 6cyl",24,21/30,"$2,550",5,P T SS
"M-7,","3.0L, 6c",yl,"20 17/24 $3,050",4,PR,T,SS,,TT C,oupe quattr,o,,,,
,,,,,,,,,,,,,,,
11,Carrer,a S,,,,,,,AM-,"S7, 2.0L, 4cyl",26,23/30,"$1,850",5,T SS
AM-,"S8, 3.0L,",6cyl,"20 18/23 $3,050",4,PR,T,SS,,TT R,S Coupe,,,,,
"M-7,","3.0L, 6c",yl,"21 18/25 $2,900",4,PR,T,SS,,,,,,,,
,,,,,,,,,AM-,"S7, 2.5L, 5cyl",23,20/29,"$2,650",5,P T
,,,,,,,,,,,,,,,
11,Carrer,a S Cab,riolet,,,,,,TTS,Coupe quatt,ro,,,,
AM-,"S8, 3.0L,",6cyl,"20 18/23 $3,050",4,PR,T,SS,,AM-,"S7, 2.0L, 4cyl",26,23/31,"$2,350",5,P T SS
"M-7,","3.0L, 6c",yl,"20 17/25 $3,050",4,PR,T,SS,,,,,,,,
,,,,,,,,,,,,,,,
11,Targa,4,,,,,,,BEN,TLEY,,,,,
AM-,"S8, 3.0L,",6cyl,"20 18/24 $3,050",4,PR,T,SS,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,Con,tinental GT,,,,,
11,Targa,4 GTS,,,,,,,AM-,"S8, 4.0L, 8cyl",19,16/26,"$3,200",4,P T CD S
AM-,"S8, 3.0L,",6cyl,"19 17/22 $3,200",4,PR,T,SS,,,,,,,,
,,,,,,,,,,,,,,,
"M-7,","3.0L, 6c",yl,"19 16/23 $3,200",4,PR,T,SS,,Con,tinental GT S,peed,,,,
,,,,,,,,,AM-,"S8, 6.0L, 12cyl",15,12/20,"$4,100",2,P T Tax
,,,,,,,,,,,,,,,
11,Targa,4S,,,,,,,,,,,,,
AM-,"S8, 3.0L,",6cyl,"20 18/23 $3,050",4,PR,T,SS,,BM,W,,,,,
"M-7,","3.0L, 6c",yl,"20 17/24 $3,050",4,PR,T,SS,,,,,,,,
,,,,,,,,,,,,,,,
11,Turbo,,,,,,,,230i,Coupe,,,,,
,,,,,,,,,A-S8,", 2.0L, 4cyl",29,26/35,"$2,100",6,P T SS
AM-,"S8, 3.7L,",6cyl,"17 15/20 $3,600",3,PR,T,Tax,SS,,,,,,,
,,,,,,,,,,,,,,,
11,Turbo,Cabriol,et,,,,,,430i,Convertible,,,,,
,,,,,,,,,A-S8,", 2.0L, 4cyl",28,25/34,"$2,200",6,P T SS
AM-,"S8, 3.7L,",6cyl,"17 15/20 $3,600",3,PR,T,Tax,SS,,,,,,,
,,,,,,,,,,,,,,,
11,Turbo,S,,,,,,,430i,Coupe,,,,,
,,,,,,,,,A-S8,", 2.0L, 4cyl",28,25/34,"$2,200",6,P T SS
AM-,"S8, 3.7L,",6cyl,"17 15/20 $3,600",3,PR,T,SS,,,,,,,,
,,,,,,,,,,,,,,,
11,Turbo,S Cabri,olet,,,,,,430i,xDrive Conv,ertible,,,,
,,,,,,,,,A-S8,", 2.0L, 4cyl",27,23/33,"$2,250",6,P T SS
AM-,"S8, 3.7L,",6cyl,"17 15/20 $3,600",3,PR,T,Tax,SS,,,,,,,
,,,,,,,,,430i,xDrive Coup,e,,,,
UB,ARU,,,,,,,,A-S8,", 2.0L, 4cyl",27,23/33,"$2,250",6,P T SS
RZ,,,,,,,,,840i,Convertible,,,,,
A-S6,", 2.4L, 4c",yl,"25 21/30 $2,450",5,PR,,,,A-S8,", 3.0L, 6cyl",25,22/29,"$2,450",5,P T SS
"M-6,","2.4L, 4c",yl,"22 20/27 $2,800",5,PR,,,,840i,Coupe,,,,,
,,,,,,,,,A-S8,", 3.0L, 6cyl",25,23/30,"$2,450",5,P T SS
OY,OTA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,840i,xDrive Conv,ertible,,,,
R 8,6,,,,,,,,A-S8,", 3.0L, 6cyl",23,20/27,"$2,650",5,P T SS
A-S6,", 2.4L, 4c",yl,"25 21/31 $2,450",5,PR,,,,840i,xDrive Coup,e,,,,
"M-6,","2.4L, 4c",yl,"22 20/27 $2,800",5,PR,,,,A-S8,", 3.0L, 6cyl",23,20/27,"$2,650",5,P T SS
,,,,,,,,,,,,,,,
,,,SUBCOMPACT CA,RS,,,,,i4 e,Drive40 Gran,Coupe,(18 inch,wheel,s),
,,,,,,,,,A-1,,109 1,09/108,$700,10,EV
U,DI,,,,,,,,i4 e,Drive40 Gran,Coupe,(19 inch,wheel,s),
3,,,,,,,,,A-1,,99 1,00/98,$750,10,EV
,,,,,,,,,,,,,,,
AM-,"S7, 2.0L,",4cyl,"32 29/38 $1,500",7,T M,H,EV,SS,i4 M,50 Gran Cou,pe (19 i,nch whe,els),,
3 q,uattro,,,,,,,,A-1,,96,94/98,$800,10,EV
,,,,,,,,,,,,,,,
AM-,"S7, 2.0L,",4cyl,"31 28/36 $1,550",7,T M,H,EV,SS,i4 M,50 Gran Cou,pe (20 i,nch whe,els),,
5 C,abriol,et quatt,ro,,,,,,A-1,,80,79/80,$950,10,EV
,,,,,,,,,,,,,,,
AM-,"S7, 2.0L,",4cyl,"26 23/31 $2,350",5,P T,M,HE,V SS,M24,0i xDrive Co,upe,,,,
5 C,oupe,quattro,,,,,,,A-S8,", 3.0L, 6cyl",26,23/32,"$2,350",5,P T SS
,,,,,,,,,,,,,,,
AM-,"S7, 2.0L,",4cyl,"27 24/31 $2,250",6,P T,M,HE,V SS,M4,Competition,Coupe,,,,
S 3,,,,,,,,,A-S8,", 3.0L, 6cyl",19,16/23,"$3,200",4,PR T SS
,,,,,,,,,,,,,,,
AM-,"S7, 2.5L,",5cyl,"23 20/29 $2,650",5,P T,,,,M4,Competition,M xDriv,e Conve,rtible,,
S 5,Coup,e,,,,,,,A-S8,", 3.0L, 6cyl",18,16/23,"$3,400",3,PR T SS
,,,,,,,,,,,,,,,
A-S8,", 2.9L, 6c",yl,"21 18/25 $2,900",4,P T,,,,M4,Competition,M xDriv,e Coup,e,,
3,,,,,,,,,A-S8,", 3.0L, 6cyl",18,16/22,"$3,400",3,PR T SS
,,,,,,,,,,,,,,,
AM-,"S7, 2.0L,",4cyl,"27 23/32 $2,250",6,P T,S,S,,M4,Coupe,,,,,
5 C,abriol,et,,,,,,,"M-6,","3.0L, 6cyl",19,16/23,"$3,200",4,PR T SS
,,,,,,,,,,,,,,,
A-S8,", 3.0L, 6c",yl,"23 21/28 $2,650",5,P T,S,S,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,F,UEL E,CONO,MY G,UIDE,2022
,,,,,,,,,,,,,,,,,
,,Model,MP,G,Annual,,,,,Mo,del,M,PG,Annual,,,
,Co,nguration,,,Fuel,GHG,,,,Congu,ration,,,Fuel,GHG,,
(tr,ans,", eng size, cyl)",Comb C,ity/Hwy,Cost,Rating,,No,tes,"(trans, eng","size, cyl)",Comb,City/Hwy,Cost,Rating,,N
,,,,,,,,,,,,,,,,,
M44,0i,Convertib,le,,,,,,,Mustang,Mach 1,,,,,,
A-S8,", 3.","0L, 6cyl",26,23/31,"$2,350",5,P T,MHEV,SS,"A-S10, 5.0L",", 8cyl",18,15/23,"$2,650",3,SS,
M44,0i,Coupe,,,,,,,,"M-6, 5.0L, 8",cyl,17,14/22,"$2,800",3,Tax,
,,,,,,,,,,,,,,,,,
A-S8,", 3.","0L, 6cyl",28,25/34,"$2,200",6,P T,MHEV,SS,Shelby G,T500 M,ustang,,,,,
M44,0i,xDrive Co,nvertib,le,,,,,,"AM-S7, 5.2L",", 8cyl",14,12/18,"$4,350",2,PR S,Tax
,,,,,,,,,,,,,,,,,
A-S8,", 3.","0L, 6cyl",26,23/31,"$2,350",5,P T,MHEV,SS,,,,,,,,
,,,,,,,,,,INFINITI,,,,,,,
M44,0i,xDrive Co,upe,,,,,,,,,,,,,,
A-S8,", 3.","0L, 6cyl",26,23/32,"$2,350",5,P T,MHEV,SS,Q60,,,,,,,
,,,,,,,,,,"A-S7, 3.0L,",6cyl,22,19/28,"$2,800",5,PR T,
,,,,,,,,,,,,,,,,,
M8,Co,mpetition,Conver,tible,,,,,,,,,,,,,
A-S8,", 4.","4L, 8cyl",17,15/21,"$3,600",3,P T,Tax SS,,Q60 AWD,,,,,,,
,,,,,,,,,,"A-S7, 3.0L,",6cyl,22,19/27,"$2,800",5,PR T,
,,,,,,,,,,,,,,,,,
M8,Co,mpetition,Coupe,,,,,,,,,,,,,,
A-S8,", 4.","4L, 8cyl",17,15/21,"$3,600",3,P T,Tax SS,,Q60 Red,Sport,,,,,,
,,,,,,,,,,"A-S7, 3.0L,",6cyl,22,20/27,"$2,800",5,PR T,
,,,,,,,,,,,,,,,,,
M85,0i,xDrive Co,nvertib,le,,,,,,,,,,,,,
A-S8,", 4.","4L, 8cyl",19,17/24,"$3,200",4,P T,SS,,Q60 Red,Sport A,WD,,,,,
,,,,,,,,,,"A-S7, 3.0L,",6cyl,21,19/26,"$2,900",4,PR T,
,,,,,,,,,,,,,,,,,
M85,0i,xDrive Co,upe,,,,,,,,,,,,,,
A-S8,", 4.","4L, 8cyl",20,17/25,"$3,050",4,P T,SS,,LEXUS,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CHE,V,ROLET,,,,,,,,LC 500,,,,,,,
,,,,,,,,,,"A-S10, 5.0L",", 8cyl",19,16/25,"$3,200",4,PR,
,,,,,,,,,,,,,,,,,
Cam,ar,o,,,,,,,,,,,,,,,
A-S8,", 2.","0L, 4cyl",25,22/30,"$2,450",5,PR,T,,LC 500h,,,,,,,
"M-6,",2.,"0L, 4cyl",22,19/29,"$2,800",5,PR,T,,"AV-S10, 3.5","L, 6cyl",29,26/34,"$2,100",6,PR H,EV
A-S1,"0,","3.6L, 6cyl",22,18/29,"$2,150",5,CD,,,RC 300,,,,,,,
"M-6,",3.,"6L, 6cyl",20,16/26,"$2,400",4,,,,"A-S8, 2.0L,",4cyl,25,21/31,"$2,450",5,PR T,
A-S1,"0,","6.2L, 8cyl",20,16/26,"$3,050",4,PR,CD,,,,,,,,,
,,,,,,,,,,,,,,,,,
A-S1,"0,","6.2L, 8cyl",16,13/21,"$3,800",3,PR,S Tax,,RC 300 A,WD,,,,,,
"M-6,",6.,"2L, 8cyl",19,16/24,"$3,200",4,PR,,,"A-S6, 3.5L,",6cyl,22,19/26,"$2,800",5,PR,
"M-6,",6.,"2L, 8cyl",16,14/20,"$3,800",3,PR,S Tax,,RC 350,,,,,,,
Spa,rk,,,,,,,,,"A-S8, 3.5L,",6cyl,23,20/28,"$2,650",5,PR,
"AV,",1.4,"L, 4cyl",33,30/38,"$1,450",7,,,,RC 350 A,WD,,,,,,
M-5,", 1.","4L, 4cyl",33,29/38,"$1,450",7,,,,"A-S6, 3.5L,",6cyl,22,19/26,"$2,800",5,PR,
,,,,,,,,,,,,,,,,,
Spa,rk,ACTIV,,,,,,,,RC F,,,,,,,
"AV,",1.4,"L, 4cyl",33,30/37,"$1,450",7,,,,"A-S8, 5.0L,",8cyl,19,16/24,"$3,200",4,PR,
"M-5,",1.,"4L, 4cyl",32,29/37,"$1,500",7,,,,,,,,,,,
,,,,,,,,,,MERCED,ES-BEN,Z,,,,,
FER,R,ARI,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,A220,,,,,,,
Rom,a,,,,,,,,,"AM-7, 2.0L,",4cyl,28,24/35,"$2,200",6,PR T,SS
AM-,"8, 3",".9L, 8cyl",19,17/22,"$3,200",4,PR,T SS,,A220 4m,atic,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,"AM-7, 2.0L,",4cyl,28,25/35,"$2,200",6,PR T,SS
FOR,D,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,AMG A35,4matic,,,,,,
Mus,ta,ng,,,,,,,,"AM-7, 2.0L,",4cyl,25,22/30,"$2,450",5,PR T,SS
,,,,,,,,,,,,,,,,,
A-10,", 2.","3L, 4cyl",25,22/32,"$1,900",5,T S,S,,AMG C43,4matic,Conve,rtible,,,,
A-S1,"0,","2.3L, 4cyl",25,21/32,"$1,900",5,T S,S,,,,,,,,,
,,,,,,,,,,"A-9, 3.0L, 6",cyl,22,19/28,"$2,800",5,PR T,SS
"M-6,",2.,"3L, 4cyl",24,21/29,"$2,000",5,T,,,,,,,,,,
A-S1,"0,","5.0L, 8cyl",19,15/24,"$2,500",4,SS,,,AMG C43,4matic,Coupe,,,,,
"M-6,",5.,"0L, 8cyl",18,15/24,"$2,650",3,,,,"A-9, 3.0L, 6",cyl,22,19/28,"$2,800",5,PR T,SS
,,,,,,,,,,,,,,,,,
Mus,ta,ng Conver,tible,,,,,,,AMG E53,4matic,Plus C,onvertibl,e,,,
A-10,", 2.","3L, 4cyl",23,20/28,"$2,050",5,T S,S,,"A-9, 3.0L, 6",cyl,22,20/27,"$2,800",5,PR M,HE
